National Institute of Technology Rourkela,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,32143,38512
National Institute of Technology Rourkela,"Mining Engineering (4 Years, Bachelor of Technology)",OS,29902,39954
National Institute of Technology Rourkela,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,35081,39670
National Institute of Technology Rourkela,"Physics (5 Years, Integrated Master of Science)",OS,26971,33330
National Institute of Technology Shibpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OS,14870,23280
National Institute of Technology Shibpur,"Architecture (5 Years, Bachelor of Architecture)",OS,647,838
National Institute of Technology Shibpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,41996,52036
National Institute of Technology Shibpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,8043,13711
National Institute of Technology Shibpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,22661,28582
National Institute of Technology Shibpur,"Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",OS,17614,21207
National Institute of Technology Shibpur,"Information Technology (4 Years, Bachelor of Technology)",OS,13788,16809
National Institute of Technology Shibpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,26554,37579
National Institute of Technology Shibpur,"Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",OS,44874,51002
National Institute of Technology Shibpur,"Mining Engineering (4 Years, Bachelor of Technology)",OS,46278,54788
National Institute of Technology Sikkim,"Civil Engineering (4 Years, Bachelor of Technology)",OS,51587,55629
National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,19566,24093
National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,35448,40863
National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,33641,35568
National Institute of Technology Sikkim,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,44244,49141
National Institute of Technology Silchar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,34523,46505
National Institute of Technology Silchar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,8606,12818
National Institute of Technology Silchar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,22136,26321
National Institute of Technology Silchar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,14632,18613
National Institute of Technology Silchar,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",OS,19159,23084
National Institute of Technology Silchar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,26386,35691
National Institute of Technology Srinagar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,49795,54693
National Institute of Technology Srinagar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,51984,57678
National Institute of Technology Srinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,12931,22814
National Institute of Technology Srinagar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,31874,40467
National Institute of Technology Srinagar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,23540,34057
National Institute of Technology Srinagar,"Information Technology (4 Years, Bachelor of Technology)",OS,23256,27732
National Institute of Technology Srinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,39889,47520
National Institute of Technology Srinagar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,53273,58591
National Institute of Technology Surat,"Artificial Intelligence (4 Years, Bachelor of Technology)",OS,7120,10330
National Institute of Technology Surat,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,24787,38015
National Institute of Technology Surat,"Chemistry (5 Years, Integrated Master of Science)",OS,48706,58313
